date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:43:23	132/132	---M--	200	added ('OK')	text/plain	etag:%22af4a96cc7c405a8f2bc0b03d7ba5b921%22	https://www.quickmark.co/robots.txt		(from )
06:43:24	170007/170007	---MCZ	200	added ('OK')	text/html	etag:W/%22a5d7f815347ade2bcf2d1899addc1164%22	https://www.quickmark.co/	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/index.html	(from )
06:43:24	36560/36560	---M--	200	added ('OK')	font/woff2	etag:%221e6b6cdca8d31530d3519768cbd4825a%22	https://www.quickmark.co/_next/static/media/03bda585a99c6450-s.p.0zzh68k1~whtc.woff2	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/_next/static/media/03bda585a99c6450-s.p.0zzh68k1_whtc.woff2	(from https://www.quickmark.co/)
06:43:24	31340/31340	---M--	200	added ('OK')	font/woff2	etag:%22570751c5f8b418972c1976160ba6ed85%22	https://www.quickmark.co/_next/static/media/051742360c26797e-s.p.0f97p8c3305p~.woff2	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/_next/static/media/051742360c26797e-s.p.0f97p8c3305p_.woff2	(from https://www.quickmark.co/)
06:43:25	45624/45624	---M--	200	added ('OK')	font/woff2	etag:%2242e704fdcb66f030aaf4385749f0bdcb%22	https://www.quickmark.co/_next/static/media/3c7c6164b2587822-s.p.0duriy8536ewt.woff2	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/_next/static/media/3c7c6164b2587822-s.p.0duriy8536ewt.woff2	(from https://www.quickmark.co/)
06:43:25	27272/27272	---M--	200	added ('OK')	font/woff2	etag:%2252d04440a9faae0db9adc6cdc844099b%22	https://www.quickmark.co/_next/static/media/fba5a26ea33df6a3-s.p.0eehd8tgys7nv.woff2	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/_next/static/media/fba5a26ea33df6a3-s.p.0eehd8tgys7nv.woff2	(from https://www.quickmark.co/)
06:43:26	20768/20768	---MCZ	200	added ('OK')	text/css	etag:W/%2203b7caf4119fbcca20ea6d7d6fc13d2c%22	https://www.quickmark.co/_next/static/chunks/0glr-4isoznw-.css	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/_next/static/chunks/0glr-4isoznw-.css	(from https://www.quickmark.co/)
06:43:26	239651/239651	---MCZ	200	added ('OK')	text/css	etag:W/%227ed79c53b6dc5813a4c5005999df0060%22	https://www.quickmark.co/_next/static/chunks/0keg35ni4a29a.css	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/_next/static/chunks/0keg35ni4a29a.css	(from https://www.quickmark.co/)
06:43:27	6558/6558	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f98b1049da2dbbdd15077835f8113ee0%22	https://www.quickmark.co/_next/static/chunks/0m97bbjp.vgzu.js	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/_next/static/chunks/0m97bbjp.vgzu.js	(from https://www.quickmark.co/)
06:43:27	23186/23186	---MCZ	200	added ('OK')	application/javascript	etag:W/%225817586c3aaa581f1ab7e64c31ed2c9c%22	https://www.quickmark.co/_next/static/chunks/0sp4tw6du_w08.js	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/_next/static/chunks/0sp4tw6du_w08.js	(from https://www.quickmark.co/)
06:43:28	31463/31463	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254fe49d7ec111018b8b54fb4279a5747%22	https://www.quickmark.co/_next/static/chunks/0ykf_o79cvnvq.js	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/_next/static/chunks/0ykf_o79cvnvq.js	(from https://www.quickmark.co/)
06:43:28	136911/136911	---MCZ	200	added ('OK')	application/javascript	etag:W/%2275c6833c33ccac7df1c2cdaa346eef8b%22	https://www.quickmark.co/_next/static/chunks/16ksa~32zaksw.js	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/_next/static/chunks/16ksa_32zaksw.js	(from https://www.quickmark.co/)
06:43:29	44491/44491	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cf874073eb2aecb3adb7c02079ba562b%22	https://www.quickmark.co/_next/static/chunks/128aahewwf1we.js	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/_next/static/chunks/128aahewwf1we.js	(from https://www.quickmark.co/)
06:43:29	203393/203393	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fa38d96d0b72794a52d3ab934f60c6b7%22	https://www.quickmark.co/_next/static/chunks/0rwwge57xnfls.js	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/_next/static/chunks/0rwwge57xnfls.js	(from https://www.quickmark.co/)
06:43:29	11086/11086	---MCZ	200	added ('OK')	application/javascript	etag:W/%22fec11a7d8f3d9f3a637ca17f36f823d2%22	https://www.quickmark.co/_next/static/chunks/turbopack-15x9e7_s6t9e8.js	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/_next/static/chunks/turbopack-15x9e7_s6t9e8.js	(from https://www.quickmark.co/)
06:43:30	3380/3380	---MCZ	200	added ('OK')	application/javascript	etag:W/%2251fd422cd2b7ec1af8a9c26126f06758%22	https://www.quickmark.co/_next/static/chunks/0x.73w57rn4ou.js	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/_next/static/chunks/0x.73w57rn4ou.js	(from https://www.quickmark.co/)
06:43:30	54763/54763	---MCZ	200	added ('OK')	application/javascript	etag:W/%228c982aaf9931256dfe2108595a389574%22	https://www.quickmark.co/_next/static/chunks/0i.l9589uvx0j.js	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/_next/static/chunks/0i.l9589uvx0j.js	(from https://www.quickmark.co/)
06:43:31	25651/25651	---MCZ	200	added ('OK')	application/javascript	etag:W/%224e013c3c63126e4061a2b2a86b33865f%22	https://www.quickmark.co/_next/static/chunks/04zfoct3j5y89.js	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/_next/static/chunks/04zfoct3j5y89.js	(from https://www.quickmark.co/)
06:43:31	83256/83256	---MCZ	200	added ('OK')	application/javascript	etag:W/%2241115f6862a87c4428383762c679018d%22	https://www.quickmark.co/_next/static/chunks/0.mxnrj2bqo1m.js	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/_next/static/chunks/0.mxnrj2bqo1m.js	(from https://www.quickmark.co/)
06:43:32	45409/45409	---MCZ	200	added ('OK')	application/javascript	etag:W/%22558d46183e3247414661be468d817883%22	https://www.quickmark.co/_next/static/chunks/0czxvp465g4zo.js	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/_next/static/chunks/0czxvp465g4zo.js	(from https://www.quickmark.co/)
06:43:32	126100/126100	---MCZ	200	added ('OK')	application/javascript	etag:W/%221079bcdcc208a4c84119dd05cab2992a%22	https://www.quickmark.co/_next/static/chunks/14vg~j4u58w_0.js	C:/Users/PC/Desktop/steal/steal/www.quickmark.co/_next/static/chunks/14vg_j4u58w_0.js	(from https://www.quickmark.co/)
